time,stage1
0,-0.00115
0.05,0.00015
0.1,0.00045
0.15,0.00045
0.2,0.00055
0.25,0.00055
0.3,0.00065
0.35,0.00065
0.4,0.00075
0.45,0.00065
0.5,0.00055
0.55,0.00065
0.6,0.00065
0.65,0.00075
0.7,0.00075
0.75,0.00075
0.8,0.00075
0.85,0.00065
0.9,0.00075
0.95,0.00065
1,0.00065
1.05,0.00075
1.1,0.00075
1.15,0.00065
1.2,0.00075
1.25,0.00075
1.3,0.00075
1.35,0.00075
1.4,0.00075
1.45,0.00075
1.5,0.00075
1.55,0.00075
1.6,0.00075
1.65,0.00075
1.7,0.00075
1.75,0.00075
1.8,0.00075
1.85,0.00075
1.9,0.00085
1.95,0.00075
2,0.00045
2.05,0.00075
2.1,0.00065
2.15,0.00075
2.2,0.00075
2.25,0.00075
2.3,0.00075
2.35,0.00085
2.4,0.00095
2.45,0.00105
2.5,0.00105
2.55,0.00115
2.6,0.00095
2.65,0.00135
2.7,0.00175
2.75,0.00205
2.8,0.00235
2.85,0.00305
2.9,0.00325
2.95,0.00335
3,0.00335
3.05,0.00335
3.1,0.00335
3.15,0.00335
3.2,0.00335
3.25,0.00345
3.3,0.00335
3.35,0.00345
3.4,0.00335
3.45,0.00355
3.5,0.00345
3.55,0.00355
3.6,0.00355
3.65,0.00355
3.7,0.00355
3.75,0.00355
3.8,0.00365
3.85,0.00365
3.9,0.00365
3.95,0.00365
4,0.00355
4.05,0.00355
4.1,0.00355
4.15,0.00355
4.2,0.00365
4.25,0.00355
4.3,0.00365
4.35,0.00355
4.4,0.00365
4.45,0.00365
4.5,0.00375
4.55,0.00365
4.6,0.00375
4.65,0.00385
4.7,0.00395
4.75,0.00415
4.8,0.00425
4.85,0.00455
4.9,0.00455
4.95,0.00465
5,0.00465
5.05,0.00465
5.1,0.00475
5.15,0.00485
5.2,0.00495
5.25,0.00495
5.3,0.00495
5.35,0.00495
5.4,0.00495
5.45,0.00495
5.5,0.00495
5.55,0.00505
5.6,0.00505
5.65,0.00495
5.7,0.00495
5.75,0.00505
5.8,0.00495
5.85,0.00495
5.9,0.00495
5.95,0.00485
6,0.00475
6.05,0.00465
6.1,0.00455
6.15,0.00455
6.2,0.00445
6.25,0.00435
6.3,0.00435
6.35,0.00425
6.4,0.00425
6.45,0.00425
6.5,0.00415
6.55,0.00405
6.6,0.00405
6.65,0.00395
6.7,0.00385
6.75,0.00375
6.8,0.00395
6.85,0.00365
6.9,0.00345
6.95,0.00335
7,0.00305
7.05,0.00285
7.1,0.00275
7.15,0.00265
7.2,0.00265
7.25,0.00275
7.3,0.00285
7.35,0.00265
7.4,0.00275
7.45,0.00275
7.5,0.00275
7.55,0.00275
7.6,0.00295
7.65,0.00325
7.7,0.00345
7.75,0.00355
7.8,0.00365
7.85,0.00375
7.9,0.00375
7.95,0.00365
8,0.00375
8.05,0.00365
8.1,0.00365
8.15,0.00355
8.2,0.00355
8.25,0.00365
8.3,0.00375
8.35,0.00365
8.4,0.00365
8.45,0.00355
8.5,0.00355
8.55,0.00355
8.6,0.00365
8.65,0.00345
8.7,0.00325
8.75,0.00285
8.8,0.00285
8.85,0.00265
8.9,0.00265
8.95,0.00275
9,0.00265
9.05,0.00265
9.1,0.00265
9.15,0.00265
9.2,0.00255
9.25,0.00255
9.3,0.00245
9.35,0.00225
9.4,0.00215
9.45,0.00185
9.5,0.00145
9.55,0.00115
9.6,0.00095
9.65,0.00075
9.7,0.00065
9.75,0.00055
9.8,0.00015
9.85,0.00025
9.9,0.00015
9.95,5E-05
10,-0.00015
10.05,-0.00035
10.1,-0.00045
10.15,-0.00055
10.2,-0.00075
10.25,-0.00125
10.3,-0.00155
10.35,-0.00175
10.4,-0.00185
10.45,-0.00185
10.5,-0.00185
10.55,-0.00195
10.6,-0.00205
10.65,-0.00195
10.7,-0.00205
10.75,-0.00205
10.8,-0.00215
10.85,-0.00215
10.9,-0.00225
10.95,-0.00235
11,-0.00235
11.05,-0.00225
11.1,-0.00235
11.15,-0.00245
11.2,-0.00245
11.25,-0.00245
11.3,-0.00245
11.35,-0.00265
11.4,-0.00245
11.45,-0.00265
11.5,-0.00245
11.55,-0.00265
11.6,-0.00265
11.65,-0.00275
11.7,-0.00285
11.75,-0.00285
11.8,-0.00285
11.85,-0.00295
11.9,-0.00295
11.95,-0.00305
12,-0.00325
12.05,-0.00345
12.1,-0.00345
12.15,-0.00355
12.2,-0.00375
12.25,-0.00375
12.3,-0.00385
12.35,-0.00395
12.4,-0.00405
12.45,-0.00415
12.5,-0.00435
12.55,-0.00435
12.6,-0.00435
12.65,-0.00435
12.7,-0.00445
12.75,-0.00445
12.8,-0.00455
12.85,-0.00445
12.9,-0.00465
12.95,-0.00465
13,-0.00465
13.05,-0.00465
13.1,-0.00475
13.15,-0.00485
13.2,-0.00485
13.25,-0.00485
13.3,-0.00495
13.35,-0.00495
13.4,-0.00495
13.45,-0.00505
13.5,-0.00505
13.55,-0.00505
13.6,-0.00525
13.65,-0.00535
13.7,-0.00535
13.75,-0.00545
13.8,-0.00555
13.85,-0.00565
13.9,-0.00575
13.95,-0.00585
14,-0.00605
14.05,-0.00635
14.1,-0.00645
14.15,-0.00675
14.2,-0.00695
14.25,-0.00705
14.3,-0.00715
14.35,-0.00715
14.4,-0.00725
14.45,-0.00725
14.5,-0.00715
14.55,-0.00185
14.6,0.00045
14.65,0.00345
14.7,0.00495
14.75,0.00485
14.8,0.00485
14.85,0.00535
14.9,0.00625
14.95,0.00725
15,0.00805
15.05,0.00905
15.1,0.01055
15.15,0.01115
15.2,0.01185
15.25,0.01235
15.3,0.01275
15.35,0.01305
15.4,0.01335
15.45,0.01345
15.5,0.01385
15.55,0.01415
15.6,0.01425
15.65,0.01465
15.7,0.01515
15.75,0.01565
15.8,0.01615
15.85,0.01665
15.9,0.01705
15.95,0.01715
16,0.01755
16.05,0.01765
16.1,0.01795
16.15,0.01805
16.2,0.01805
16.25,0.01805
16.3,0.01805
16.35,0.01805
16.4,0.01815
16.45,0.01815
16.5,0.01815
16.55,0.01825
16.6,0.01825
16.65,0.01835
16.7,0.01855
16.75,0.01885
16.8,0.01965
16.85,0.02155
16.9,0.03015
16.95,0.03655
17,0.03895
17.05,0.03895
17.1,0.03625
17.15,0.03345
17.2,0.03235
17.25,0.03515
17.3,0.03635
17.35,0.03535
17.4,0.03325
17.45,0.03235
17.5,0.03245
17.55,0.03165
17.6,0.03275
17.65,0.03245
17.7,0.03285
17.75,0.03295
17.8,0.03265
17.85,0.03015
17.9,0.02875
17.95,0.02815
18,0.02755
18.05,0.02705
18.1,0.02645
18.15,0.02545
18.2,0.02465
18.25,0.02435
18.3,0.02415
18.35,0.02415
18.4,0.02445
18.45,0.02395
18.5,0.02335
18.55,0.02285
18.6,0.02265
18.65,0.02265
18.7,0.02235
18.75,0.02215
18.8,0.02235
18.85,0.02265
18.9,0.02335
18.95,0.02515
19,0.02925
19.05,0.03395
19.1,0.03565
19.15,0.03095
19.2,0.02525
19.25,0.02235
19.3,0.02075
19.35,0.02065
19.4,0.02255
19.45,0.02305
19.5,0.02165
19.55,0.02145
19.6,0.02325
19.65,0.02355
19.7,0.02275
19.75,0.02095
19.8,0.01995
19.85,0.01915
19.9,0.01805
19.95,0.01685
20,0.01665
20.05,0.01735
20.1,0.01795
20.15,0.01925
20.2,0.01955
20.25,0.01895
20.3,0.01715
20.35,0.01585
20.4,0.01575
20.45,0.01735
20.5,0.02145
20.55,0.02195
20.6,0.01895
20.65,0.01575
20.7,0.01465
20.75,0.01565
20.8,0.01435
20.85,0.01225
20.9,0.01135
20.95,0.01225
21,0.01395
21.05,0.01345
21.1,0.01525
21.15,0.01595
21.2,0.01795
21.25,0.01725
21.3,0.01495
21.35,0.01405
21.4,0.01275
21.45,0.01175
21.5,0.01155
21.55,0.01125
21.6,0.01125
21.65,0.01105
21.7,0.01065
21.75,0.01035
21.8,0.00935
21.85,0.00865
21.9,0.00825
21.95,0.00835
22,0.00865
22.05,0.00935
22.1,0.00925
22.15,0.00855
22.2,0.00805
22.25,0.00775
22.3,0.00765
22.35,0.00755
22.4,0.00745
22.45,0.00725
22.5,0.00715
