Stage output, depth (m).

Stage information (stage,x,y,elev):
1 4.515000 1.197000 0.123626
2 4.515000 1.701000 0.132697
3 4.515000 2.191000 0.129459

Output, depths:
Time; stages 1 to 3
0.001000 0.011724 0.002652 0.005891
0.104421 0.011722 0.002651 0.005889
0.201745 0.011721 0.002650 0.005888
0.305135 0.011719 0.002648 0.005886
0.402435 0.011718 0.002646 0.005884
0.505812 0.011716 0.002644 0.005881
0.603109 0.011715 0.002642 0.005879
0.700408 0.011713 0.002639 0.005876
0.803793 0.011712 0.002638 0.005873
0.901100 0.011710 0.002637 0.005870
1.004489 0.011709 0.002636 0.005867
1.101798 0.011707 0.002636 0.005864
1.205186 0.011705 0.002636 0.005861
1.302490 0.011703 0.002636 0.005859
1.405873 0.011700 0.002636 0.005857
1.503171 0.011698 0.002637 0.005856
1.600465 0.011695 0.002638 0.005855
1.703835 0.011693 0.002638 0.005856
1.801120 0.011691 0.002639 0.005856
1.904480 0.011690 0.002639 0.005857
2.001757 0.011689 0.002640 0.005859
2.105112 0.011688 0.002639 0.005860
2.202391 0.011688 0.002639 0.005861
2.305760 0.011688 0.002638 0.005862
2.403067 0.011688 0.002637 0.005863
2.500397 0.011688 0.002636 0.005863
2.603819 0.011688 0.002634 0.005863
2.701145 0.011689 0.002632 0.005863
2.804537 0.011689 0.002630 0.005863
2.901830 0.011688 0.002628 0.005863
3.005188 0.011688 0.002626 0.005862
3.102450 0.011687 0.002624 0.005862
3.205775 0.011687 0.002622 0.005861
3.303006 0.011685 0.002620 0.005860
3.400221 0.011684 0.002617 0.005859
3.503492 0.011683 0.002615 0.005858
3.600665 0.011682 0.002613 0.005857
3.703882 0.011680 0.002611 0.005856
3.800994 0.011679 0.002609 0.005855
3.904134 0.011677 0.002607 0.005854
4.001162 0.011676 0.002604 0.005853
4.104203 0.011674 0.002601 0.005851
4.201135 0.011672 0.002597 0.005849
4.304074 0.011670 0.002593 0.005847
4.400912 0.011669 0.002590 0.005846
4.503760 0.011667 0.002587 0.005844
4.600523 0.011665 0.002585 0.005842
4.703306 0.011664 0.002583 0.005840
4.800020 0.011662 0.002582 0.005838
4.902761 0.011661 0.002582 0.005837
5.005488 0.011659 0.002581 0.005835
5.102162 0.011658 0.002581 0.005833
5.204867 0.011656 0.002581 0.005831
5.301520 0.011655 0.002581 0.005829
5.404201 0.011653 0.002581 0.005827
5.500828 0.011652 0.002580 0.005826
5.603480 0.011651 0.002579 0.005824
5.700080 0.011649 0.002578 0.005822
5.802702 0.011649 0.002576 0.005820
5.905313 0.011649 0.002573 0.005818
6.001880 0.011650 0.002570 0.005817
6.104476 0.011651 0.002567 0.005816
6.201034 0.011653 0.002564 0.005815
6.303626 0.011656 0.002561 0.005814
6.400189 0.011659 0.002558 0.005813
6.502790 0.011662 0.002556 0.005813
6.605396 0.011666 0.002553 0.005814
6.701970 0.011669 0.002551 0.005814
6.804587 0.011672 0.002548 0.005815
6.901176 0.011675 0.002547 0.005817
7.003815 0.011677 0.002547 0.005819
7.100434 0.011680 0.002547 0.005821
7.203122 0.011682 0.002549 0.005823
7.305852 0.011685 0.002553 0.005826
7.402591 0.011687 0.002557 0.005829
7.505443 0.011689 0.002562 0.005833
7.602321 0.011691 0.002568 0.005836
7.705345 0.011693 0.002575 0.005840
7.802401 0.011694 0.002581 0.005843
7.905628 0.011694 0.002589 0.005848
8.002881 0.011693 0.002596 0.005852
8.100228 0.011689 0.002602 0.005856
8.203758 0.011682 0.002608 0.005861
8.301285 0.011672 0.002614 0.005866
8.404863 0.011658 0.002619 0.005871
8.502214 0.011640 0.002624 0.005875
8.605363 0.011617 0.002629 0.005879
8.702127 0.011590 0.002633 0.005881
8.804550 0.011557 0.002637 0.005882
8.900526 0.011521 0.002639 0.005881
9.001983 0.011478 0.002641 0.005877
9.102843 0.011431 0.002640 0.005870
9.203046 0.011379 0.002638 0.005859
9.302544 0.011322 0.002633 0.005844
9.401316 0.011261 0.002627 0.005825
9.505095 0.011191 0.002616 0.005799
9.602363 0.011120 0.002603 0.005769
9.704590 0.011039 0.002585 0.005733
9.800458 0.010957 0.002564 0.005693
9.901290 0.010864 0.002537 0.005645
10.001472 0.010766 0.002505 0.005591
10.101051 0.010661 0.002469 0.005531
10.200069 0.010551 0.002428 0.005464
10.304017 0.010429 0.002381 0.005388
10.401981 0.010308 0.002329 0.005309
10.504871 0.010175 0.002262 0.005218
10.601884 0.010045 0.002204 0.005126
10.703818 0.009904 0.002144 0.005023
10.805297 0.009759 0.002082 0.004912
10.901038 0.009619 0.002018 0.004798
11.001708 0.009468 0.001935 0.004670
11.102005 0.009316 0.001834 0.004531
11.201966 0.009161 0.001714 0.004382
11.301625 0.009004 0.001590 0.004225
11.401016 0.008845 0.001468 0.004061
11.500171 0.008685 0.001390 0.003887
11.604324 0.008514 0.001330 0.003692
11.703093 0.008350 0.001180 0.003497
11.801715 0.008184 0.000983 0.003301
11.900221 0.008016 0.000952 0.003089
12.003817 0.007837 0.000950 0.002848
12.102172 0.007665 0.000948 0.002635
12.200497 0.007491 0.000947 0.002382
12.304000 0.007304 0.000945 0.002146
12.402369 0.007125 0.000943 0.001825
12.500809 0.006942 0.000941 0.001585
12.604549 0.006748 0.000939 0.001237
12.703254 0.006560 0.000938 0.001064
