Stage output, depth (m).

Stage information (stage,x,y,elev):
1 4.515000 1.197000 0.123626
2 4.515000 1.701000 0.132697
3 4.515000 2.191000 0.129459

Output, depths:
Time; stages 1 to 3
0.001000 0.011724 0.002652 0.005891
0.104421 0.011724 0.002652 0.005891
0.201745 0.011724 0.002652 0.005891
0.305136 0.011724 0.002652 0.005891
0.402437 0.011724 0.002652 0.005891
0.505816 0.011724 0.002652 0.005890
0.603114 0.011724 0.002651 0.005888
0.700415 0.011724 0.002649 0.005885
0.803802 0.011724 0.002646 0.005881
0.901111 0.011724 0.002643 0.005877
1.004503 0.011724 0.002639 0.005874
1.101814 0.011724 0.002637 0.005873
1.205206 0.011723 0.002636 0.005872
1.302513 0.011723 0.002636 0.005871
1.405899 0.011721 0.002638 0.005869
1.503201 0.011719 0.002640 0.005868
1.600498 0.011717 0.002642 0.005868
1.703873 0.011714 0.002644 0.005869
1.801162 0.011712 0.002646 0.005872
1.904527 0.011711 0.002647 0.005876
2.001808 0.011712 0.002648 0.005881
2.105168 0.011715 0.002649 0.005886
2.202452 0.011718 0.002649 0.005891
2.305827 0.011721 0.002649 0.005895
2.403139 0.011723 0.002650 0.005899
2.500468 0.011725 0.002650 0.005902
2.603873 0.011726 0.002651 0.005906
2.701180 0.011726 0.002652 0.005908
2.804551 0.011726 0.002653 0.005910
2.901825 0.011726 0.002654 0.005910
3.005160 0.011726 0.002655 0.005909
3.102401 0.011726 0.002657 0.005909
3.205702 0.011725 0.002658 0.005908
3.302911 0.011725 0.002659 0.005907
3.400103 0.011725 0.002659 0.005906
3.503348 0.011724 0.002660 0.005905
3.600497 0.011724 0.002660 0.005904
3.703687 0.011724 0.002660 0.005903
3.800774 0.011724 0.002660 0.005902
3.903886 0.011724 0.002660 0.005901
4.000887 0.011724 0.002659 0.005900
4.103901 0.011724 0.002659 0.005899
4.200805 0.011725 0.002658 0.005898
4.303713 0.011725 0.002658 0.005898
4.400521 0.011725 0.002657 0.005897
4.503337 0.011725 0.002657 0.005897
4.600070 0.011725 0.002656 0.005897
4.702820 0.011725 0.002656 0.005897
4.805545 0.011725 0.002656 0.005896
4.902211 0.011725 0.002656 0.005896
5.004905 0.011725 0.002656 0.005896
5.101546 0.011725 0.002656 0.005895
5.204216 0.011725 0.002657 0.005895
5.300837 0.011725 0.002658 0.005895
5.403482 0.011725 0.002658 0.005895
5.500075 0.011725 0.002659 0.005895
5.602691 0.011725 0.002660 0.005895
5.705290 0.011725 0.002660 0.005895
5.801840 0.011725 0.002661 0.005895
5.904412 0.011725 0.002661 0.005895
6.000941 0.011726 0.002661 0.005896
6.103498 0.011728 0.002661 0.005896
6.200018 0.011731 0.002661 0.005896
6.302570 0.011736 0.002661 0.005896
6.405124 0.011742 0.002660 0.005896
6.501651 0.011748 0.002660 0.005896
6.604212 0.011754 0.002660 0.005897
6.700747 0.011760 0.002660 0.005897
6.803319 0.011764 0.002660 0.005898
6.905899 0.011767 0.002660 0.005898
7.002457 0.011769 0.002660 0.005899
7.105068 0.011771 0.002661 0.005902
7.201670 0.011772 0.002662 0.005906
7.304350 0.011774 0.002664 0.005911
7.401040 0.011776 0.002666 0.005918
7.503841 0.011779 0.002670 0.005926
7.600671 0.011782 0.002675 0.005934
7.703643 0.011786 0.002680 0.005942
7.800651 0.011789 0.002685 0.005948
7.903825 0.011793 0.002690 0.005953
8.001029 0.011795 0.002695 0.005957
8.104411 0.011796 0.002699 0.005960
8.201803 0.011795 0.002702 0.005962
8.305378 0.011790 0.002705 0.005965
8.402845 0.011781 0.002708 0.005968
8.500200 0.011768 0.002711 0.005973
8.603372 0.011747 0.002716 0.005980
8.700159 0.011721 0.002721 0.005988
8.802607 0.011687 0.002728 0.005997
8.904593 0.011647 0.002737 0.006006
9.000095 0.011604 0.002746 0.006014
9.100986 0.011555 0.002756 0.006021
9.201217 0.011502 0.002765 0.006024
9.300747 0.011446 0.002773 0.006023
9.405334 0.011383 0.002778 0.006015
9.503356 0.011321 0.002779 0.006001
9.600654 0.011255 0.002776 0.005979
9.702913 0.011181 0.002766 0.005947
9.804432 0.011102 0.002750 0.005908
9.905255 0.011016 0.002728 0.005863
10.005437 0.010923 0.002700 0.005812
10.105013 0.010822 0.002667 0.005755
10.204028 0.010713 0.002630 0.005692
10.302517 0.010597 0.002588 0.005625
10.400508 0.010474 0.002542 0.005553
10.503427 0.010338 0.002489 0.005473
10.600465 0.010203 0.002436 0.005393
10.702425 0.010055 0.002377 0.005303
10.803928 0.009904 0.002314 0.005208
10.905002 0.009749 0.002247 0.005105
11.000383 0.009601 0.002181 0.005001
11.100703 0.009442 0.002106 0.004884
11.200687 0.009282 0.002015 0.004758
11.300367 0.009121 0.001902 0.004622
11.405003 0.008950 0.001770 0.004465
11.504165 0.008787 0.001646 0.004301
11.603125 0.008623 0.001531 0.004123
11.701912 0.008458 0.001396 0.003933
11.800554 0.008292 0.001256 0.003733
11.904263 0.008116 0.001123 0.003516
12.002694 0.007947 0.000984 0.003301
12.101068 0.007777 0.000949 0.003079
12.204586 0.007596 0.000975 0.002832
12.302932 0.007422 0.001000 0.002582
12.401316 0.007246 0.001000 0.002320
12.504957 0.007059 0.000974 0.002003
12.603528 0.006879 0.000974 0.001743
12.702249 0.006695 0.000974 0.001422
