Stage output, depth (m).

Stage information (stage,x,y,elev):
1 4.515000 1.197000 0.123591
2 4.515000 1.701000 0.132484
3 4.515000 2.191000 0.130107

Output, depths:
Time; stages 1 to 3
0.001000 0.011759 0.002866 0.005243
0.103336 0.011759 0.002866 0.005243
0.202004 0.011759 0.002866 0.005243
0.300658 0.011759 0.002866 0.005243
0.402956 0.011759 0.002866 0.005243
0.501598 0.011759 0.002866 0.005243
0.600240 0.011759 0.002866 0.005243
0.702539 0.011759 0.002866 0.005245
0.801189 0.011759 0.002867 0.005238
0.903496 0.011759 0.002865 0.005219
1.002151 0.011759 0.002860 0.005226
1.100805 0.011759 0.002864 0.005260
1.203114 0.011759 0.002851 0.005270
1.301765 0.011759 0.002833 0.005233
1.400414 0.011759 0.002847 0.005209
1.502713 0.011759 0.002870 0.005231
1.601355 0.011759 0.002867 0.005263
1.703645 0.011755 0.002880 0.005252
1.802278 0.011752 0.002886 0.005237
1.900906 0.011748 0.002866 0.005252
2.003185 0.011749 0.002836 0.005243
2.101810 0.011780 0.002833 0.005213
2.200438 0.011776 0.002889 0.005230
2.302730 0.011745 0.002904 0.005285
2.401386 0.011761 0.002866 0.005272
2.500062 0.011768 0.002851 0.005239
2.602383 0.011744 0.002882 0.005235
2.701036 0.011746 0.002879 0.005249
2.803326 0.011788 0.002835 0.005250
2.901945 0.011778 0.002851 0.005227
3.000548 0.011750 0.002882 0.005223
3.102786 0.011753 0.002854 0.005268
3.201356 0.011759 0.002851 0.005269
3.303560 0.011766 0.002887 0.005225
3.402097 0.011769 0.002879 0.005218
3.500615 0.011747 0.002868 0.005269
3.602757 0.011742 0.002877 0.005280
3.701223 0.011746 0.002859 0.005250
3.803302 0.011735 0.002838 0.005239
3.901693 0.011750 0.002876 0.005234
4.000039 0.011783 0.002924 0.005237
4.101978 0.011779 0.002890 0.005252
4.200226 0.011747 0.002831 0.005250
4.302059 0.011756 0.002833 0.005236
4.400200 0.011787 0.002864 0.005254
4.501932 0.011767 0.002863 0.005254
4.600004 0.011751 0.002863 0.005227
4.701680 0.011739 0.002857 0.005224
4.803331 0.011749 0.002868 0.005249
4.901336 0.011775 0.002888 0.005266
5.002957 0.011773 0.002870 0.005259
5.100937 0.011745 0.002856 0.005231
5.202533 0.011758 0.002861 0.005220
5.300489 0.011773 0.002870 0.005248
5.402061 0.011763 0.002875 0.005269
5.503618 0.011744 0.002869 0.005244
5.601529 0.011759 0.002844 0.005221
5.703056 0.011795 0.002826 0.005229
5.800944 0.011763 0.002850 0.005231
5.902442 0.011744 0.002859 0.005236
6.000309 0.011752 0.002882 0.005276
6.101793 0.011751 0.002907 0.005277
6.203278 0.011759 0.002880 0.005234
6.301129 0.011771 0.002855 0.005235
6.402614 0.011791 0.002857 0.005257
6.500473 0.011778 0.002881 0.005227
6.601958 0.011777 0.002873 0.005192
6.703442 0.011807 0.002837 0.005241
6.801305 0.011833 0.002864 0.005262
6.902802 0.011836 0.002895 0.005238
7.000689 0.011788 0.002867 0.005249
7.102219 0.011776 0.002866 0.005257
7.200150 0.011810 0.002900 0.005232
7.301749 0.011813 0.002906 0.005230
7.403403 0.011798 0.002879 0.005249
7.501492 0.011805 0.002844 0.005265
7.603292 0.011821 0.002857 0.005331
7.701546 0.011820 0.002905 0.005360
7.803533 0.011839 0.002927 0.005344
7.901981 0.011845 0.002925 0.005300
8.000525 0.011822 0.002913 0.005279
8.102820 0.011807 0.002899 0.005297
8.201556 0.011842 0.002883 0.005293
8.300379 0.011874 0.002896 0.005291
8.402843 0.011844 0.002942 0.005302
8.501424 0.011826 0.002935 0.005302
8.603384 0.011810 0.002929 0.005302
8.701408 0.011772 0.002956 0.005330
8.802704 0.011739 0.002936 0.005362
8.903550 0.011704 0.002908 0.005360
9.000305 0.011658 0.002937 0.005350
9.100071 0.011606 0.002984 0.005407
9.202724 0.011535 0.003011 0.005441
9.301146 0.011470 0.003032 0.005433
9.402331 0.011400 0.003048 0.005451
9.502744 0.011339 0.003069 0.005427
9.602399 0.011310 0.003074 0.005379
9.701321 0.011244 0.003054 0.005364
9.802923 0.011166 0.003043 0.005365
9.900477 0.011075 0.003034 0.005340
10.000762 0.010995 0.002991 0.005256
10.100450 0.010893 0.002897 0.005155
10.202871 0.010792 0.002788 0.005060
10.301455 0.010705 0.002711 0.004967
10.402805 0.010544 0.002669 0.004893
10.500402 0.010373 0.002643 0.004831
10.600777 0.010222 0.002584 0.004753
10.700687 0.010069 0.002506 0.004675
10.800161 0.009899 0.002478 0.004638
10.902410 0.009791 0.002446 0.004601
11.001070 0.009625 0.002368 0.004467
11.102544 0.009423 0.002284 0.004317
11.200519 0.009285 0.002209 0.004253
11.301346 0.009113 0.002173 0.004159
11.401897 0.008938 0.002076 0.003912
11.502212 0.008760 0.001911 0.003704
11.602319 0.008563 0.001637 0.003600
11.702249 0.008416 0.001435 0.003469
11.802032 0.008282 0.001340 0.003253
11.901697 0.008091 0.001034 0.003012
12.001273 0.007912 0.001101 0.002773
12.100790 0.007756 0.000965 0.002528
12.200277 0.007593 0.000965 0.002271
12.302874 0.007405 0.000964 0.001819
12.402402 0.007201 0.001035 0.001450
12.502006 0.007010 0.001031 0.001101
12.601725 0.006865 0.001027 0.000970
12.701591 0.006719 0.001030 0.000949
