time,stage1
0.001000,0.002652
0.104247,0.002652
0.201382,0.002652
0.304574,0.002652
0.401687,0.002652
0.504867,0.002652
0.601978,0.002651
0.705162,0.002649
0.802280,0.002646
0.905472,0.002643
1.002597,0.002639
1.105791,0.002637
1.202915,0.002636
1.300037,0.002636
1.403226,0.002638
1.500342,0.002640
1.603524,0.002642
1.700633,0.002645
1.803806,0.002646
1.900906,0.002647
2.004072,0.002648
2.101169,0.002649
2.204338,0.002649
2.301448,0.002649
2.404647,0.002649
2.501801,0.002650
2.605065,0.002651
2.702296,0.002652
2.805655,0.002653
2.902973,0.002654
3.000281,0.002656
3.103654,0.002657
3.200929,0.002658
3.304267,0.002659
3.401508,0.002660
3.504807,0.002660
3.602006,0.002661
3.705252,0.002661
3.802390,0.002661
3.905559,0.002660
4.002616,0.002660
4.105690,0.002659
4.202653,0.002658
4.305625,0.002657
4.402495,0.002657
4.505374,0.002656
4.602166,0.002656
4.704976,0.002655
4.801715,0.002656
4.904480,0.002656
5.001184,0.002656
5.103918,0.002657
5.200597,0.002657
5.303306,0.002658
5.406000,0.002659
5.502639,0.002660
5.605302,0.002661
5.701911,0.002661
5.804542,0.002662
5.901124,0.002662
6.003731,0.002662
6.100294,0.002662
6.202887,0.002662
6.305477,0.002661
6.402031,0.002660
6.504620,0.002660
6.601174,0.002660
6.703764,0.002661
6.800322,0.002663
6.902919,0.002668
7.005527,0.002676
7.102114,0.002690
7.204765,0.002711
7.301412,0.002738
7.404150,0.002774
7.500903,0.002814
7.603780,0.002858
7.700687,0.002897
7.803746,0.002935
7.900837,0.002964
8.004096,0.002991
8.101374,0.003012
8.204827,0.003034
8.302282,0.003056
8.405845,0.003084
8.503075,0.003117
8.600032,0.003156
8.702715,0.003203
8.805002,0.003253
8.900852,0.003295
9.002180,0.003333
9.102913,0.003358
9.202992,0.003372
9.302373,0.003373
9.401032,0.003364
9.504699,0.003346
9.601868,0.003322
9.703998,0.003291
9.805392,0.003256
9.900520,0.003220
10.000619,0.003179
10.100119,0.003136
10.204541,0.003087
10.302928,0.003039
10.400821,0.002989
10.503640,0.002936
10.600585,0.002886
10.702450,0.002834
10.803860,0.002779
10.904842,0.002719
11.000141,0.002654
11.100375,0.002575
11.200274,0.002484
11.305104,0.002378
11.404418,0.002270
11.503498,0.002158
11.602375,0.002049
11.701080,0.001938
11.804824,0.001781
11.903262,0.001615
12.001613,0.001454
12.105076,0.001260
12.203336,0.001073
12.301596,0.000995
12.405065,0.000964
12.503434,0.000989
12.601910,0.000965
12.700530,0.000965
12.804537,0.000965
12.903567,0.000965
13.002846,0.000965
13.102403,0.000965
13.202263,0.000965
13.302446,0.000965
13.402968,0.000965
13.503841,0.000965
13.605076,0.000965
13.701329,0.000965
13.803304,0.000965
13.900281,0.000965
14.003057,0.000965
14.100832,0.000965
14.204500,0.000965
14.303176,0.000965
14.402331,0.000965
14.501995,0.000965
14.602193,0.000965
14.702949,0.000965
14.804285,0.000965
14.900539,0.005813
15.003052,0.010209
15.100443,0.011972
15.204181,0.013426
15.302747,0.014674
15.401888,0.015755
15.501603,0.016663
15.601881,0.017415
15.702694,0.018036
15.803639,0.018557
15.904339,0.019018
16.004797,0.019441
16.105033,0.019842
16.205065,0.020230
16.304913,0.020600
16.404591,0.020938
16.504113,0.021235
16.603484,0.021498
16.702700,0.021844
16.801752,0.025646
16.900620,0.039775
17.005066,0.044390
17.103491,0.043797
17.201720,0.042733
17.305538,0.041583
17.403440,0.040714
17.501226,0.040080
17.604666,0.039515
17.702286,0.038908
17.805585,0.038125
17.903086,0.037319
18.000525,0.036532
18.103621,0.035755
18.200912,0.035057
18.303821,0.034321
18.400906,0.033599
18.503597,0.032796
18.600499,0.032003
18.703029,0.031127
18.805504,0.030210
18.902255,0.029304
19.004682,0.028318
19.101419,0.027459
19.203858,0.027243
19.300622,0.029028
19.403098,0.031831
19.505330,0.032609
19.600989,0.031553
19.701454,0.029996
19.801215,0.028569
19.900404,0.027378
20.004633,0.026349
20.102946,0.025532
20.200670,0.024811
20.302791,0.024104
20.403382,0.023428
20.502227,0.022805
20.604564,0.022328
20.700564,0.022346
20.800809,0.023042
20.900573,0.023643
21.000070,0.023657
21.104498,0.023429
21.204065,0.023247
21.303518,0.023145
21.402849,0.023064
21.502047,0.022892
21.601118,0.022530
21.700095,0.021961
21.803999,0.021202
21.903091,0.020392
22.002564,0.019553
22.102637,0.018720
22.203305,0.017922
22.304295,0.017173
22.400203,0.016513
22.500000,0.015877
