time,stage1
0.001000,0.002652
0.104246,0.002653
0.201382,0.002653
0.304573,0.002652
0.401686,0.002652
0.504866,0.002651
0.601977,0.002650
0.705161,0.002650
0.802279,0.002650
0.905471,0.002650
1.002595,0.002651
1.105790,0.002652
1.202914,0.002653
1.300035,0.002655
1.403224,0.002656
1.500340,0.002658
1.603522,0.002660
1.700631,0.002662
1.803804,0.002663
1.900905,0.002665
2.004070,0.002666
2.101167,0.002667
2.204336,0.002668
2.301447,0.002668
2.404645,0.002668
2.501800,0.002668
2.605063,0.002667
2.702294,0.002667
2.805652,0.002666
2.902971,0.002665
3.000279,0.002664
3.103651,0.002663
3.200926,0.002662
3.304264,0.002661
3.401506,0.002660
3.504804,0.002660
3.602003,0.002659
3.705248,0.002658
3.802386,0.002657
3.905555,0.002657
4.002613,0.002656
4.105688,0.002655
4.202651,0.002655
4.305624,0.002654
4.402495,0.002654
4.505376,0.002653
4.602169,0.002652
4.704981,0.002652
4.801720,0.002652
4.904485,0.002651
5.001190,0.002651
5.103925,0.002651
5.200604,0.002650
5.303313,0.002650
5.406006,0.002650
5.502645,0.002650
5.605308,0.002650
5.701916,0.002650
5.804547,0.002651
5.901128,0.002651
6.003734,0.002651
6.100296,0.002652
6.202888,0.002653
6.305477,0.002655
6.402030,0.002658
6.504618,0.002661
6.601172,0.002667
6.703762,0.002674
6.800319,0.002684
6.902917,0.002698
7.005525,0.002714
7.102112,0.002733
7.204762,0.002757
7.301409,0.002782
7.404146,0.002812
7.500899,0.002842
7.603775,0.002875
7.700681,0.002907
7.803739,0.002940
7.900829,0.002972
8.004089,0.003004
8.101369,0.003033
8.204826,0.003063
8.302284,0.003090
8.405848,0.003117
8.503078,0.003142
8.600035,0.003165
8.702718,0.003187
8.805004,0.003206
8.900854,0.003222
9.002181,0.003235
9.102913,0.003244
9.202991,0.003248
9.302372,0.003248
9.401030,0.003243
9.504696,0.003233
9.601864,0.003219
9.703994,0.003199
9.805387,0.003174
9.900515,0.003145
10.000613,0.003110
10.100112,0.003069
10.204533,0.003020
10.302920,0.002968
10.400812,0.002912
10.503630,0.002846
10.600575,0.002779
10.702439,0.002702
10.803849,0.002621
10.904831,0.002533
11.000129,0.002445
11.100364,0.002346
11.200262,0.002237
11.305093,0.002138
11.404408,0.002035
11.503488,0.001934
11.602366,0.001838
11.701070,0.001743
11.804814,0.001640
11.903252,0.001543
12.001603,0.001446
12.105066,0.001350
12.203327,0.001231
12.301589,0.001026
12.405060,0.000951
12.503431,0.000951
12.601910,0.000951
12.700532,0.000951
12.804541,0.000951
12.903571,0.000951
13.002850,0.000951
13.102407,0.000951
13.202266,0.000951
13.302446,0.000951
13.402965,0.000951
13.503835,0.000951
13.605067,0.000951
13.701316,0.000951
13.803287,0.000951
13.900262,0.000951
14.003033,0.000951
14.100806,0.000951
14.204470,0.000951
14.303143,0.000951
14.402296,0.000951
14.501957,0.000951
14.602153,0.000951
14.702908,0.001007
14.804244,0.001745
14.900500,0.006516
15.003015,0.010143
15.100410,0.012246
15.204153,0.013728
15.302724,0.014778
15.401873,0.015665
15.501595,0.016497
15.601881,0.017270
15.702694,0.017974
15.803625,0.018633
15.904318,0.019235
16.004779,0.019762
16.105025,0.020236
16.205075,0.020685
16.304944,0.021146
16.404645,0.021723
16.504187,0.022445
16.603572,0.023817
16.702800,0.027552
16.801869,0.034034
16.900770,0.042336
17.005273,0.043221
17.103772,0.042638
17.202091,0.041721
17.300248,0.040845
17.404027,0.040038
17.501919,0.039321
17.605463,0.038612
17.703173,0.037949
17.800814,0.037264
17.904130,0.036524
18.001643,0.035823
18.104817,0.035079
18.202180,0.034373
18.305169,0.033616
18.402336,0.032887
18.505117,0.032095
18.602104,0.031337
18.704721,0.030549
18.801582,0.029874
18.904101,0.029291
19.000905,0.028938
19.103396,0.029162
19.200198,0.030082
19.302707,0.031502
19.405235,0.032342
19.502089,0.031909
19.604667,0.030875
19.701575,0.029825
19.804216,0.028748
19.901070,0.027814
20.003259,0.026936
20.104801,0.026178
20.205407,0.025540
20.304935,0.025024
20.403424,0.024639
20.500950,0.024386
20.603191,0.024243
20.704831,0.024177
20.800638,0.024133
20.901308,0.024057
21.001469,0.023924
21.101560,0.023727
21.201183,0.023470
21.300341,0.023154
21.404258,0.022746
21.502632,0.022273
21.600603,0.021714
21.703525,0.021042
21.801248,0.020346
21.904311,0.019576
22.002595,0.018833
22.101326,0.018095
22.200396,0.017375
22.304680,0.016648
22.404546,0.015983
22.500000,0.015373
