time,stage1
0.001000,0.002866
0.102971,0.002866
0.201255,0.002866
0.303166,0.002864
0.401428,0.002861
0.503326,0.002862
0.601588,0.002869
0.703491,0.002891
0.801760,0.002927
0.900034,0.002957
1.001948,0.002966
1.100224,0.002953
1.202139,0.002933
1.300412,0.002920
1.402323,0.002917
1.500591,0.002924
1.602496,0.002939
1.700757,0.002957
1.802653,0.002967
1.900906,0.002967
2.002795,0.002962
2.101045,0.002958
2.202938,0.002952
2.301203,0.002944
2.403127,0.002934
2.501437,0.002923
2.603425,0.002910
2.701814,0.002897
2.800250,0.002886
2.902384,0.002873
3.000922,0.002859
3.103164,0.002844
3.201803,0.002829
3.300441,0.002815
3.402710,0.002802
3.501307,0.002790
3.603530,0.002779
3.702073,0.002767
3.800581,0.002757
3.902697,0.002750
4.001122,0.002748
4.103141,0.002743
4.201466,0.002733
4.303378,0.002725
4.401603,0.002726
4.503424,0.002727
4.601573,0.002730
4.703324,0.002735
4.801415,0.002740
4.903116,0.002740
5.001169,0.002734
5.102840,0.002730
5.200868,0.002729
5.302514,0.002718
5.400516,0.002707
5.502133,0.002706
5.600102,0.002715
5.701680,0.002714
5.803237,0.002704
5.901150,0.002694
6.002674,0.002692
6.100558,0.002695
6.202058,0.002700
6.303553,0.002703
6.401423,0.002704
6.502921,0.002701
6.600800,0.002699
6.702312,0.002700
6.800202,0.002712
6.901716,0.002745
7.003234,0.002806
7.101136,0.002894
7.202688,0.003008
7.300646,0.003125
7.402277,0.003237
7.500332,0.003323
7.602092,0.003381
7.700302,0.003409
7.802246,0.003412
7.900644,0.003401
8.002781,0.003385
8.101361,0.003370
8.200030,0.003377
8.302411,0.003459
8.401002,0.003648
8.502972,0.003902
8.601015,0.004092
8.702360,0.004189
8.803321,0.004211
8.900255,0.004187
9.000279,0.004137
9.103269,0.004081
9.202066,0.004028
9.300189,0.003976
9.401081,0.003928
9.501216,0.003889
9.600606,0.003858
9.702667,0.003830
9.800631,0.003813
9.901300,0.003807
10.001329,0.003804
10.100762,0.003794
10.202924,0.003772
10.301257,0.003742
10.402350,0.003709
10.502938,0.003680
10.603044,0.003647
10.702691,0.003599
10.801905,0.003526
10.900711,0.003424
11.002306,0.003290
11.100372,0.003131
11.201268,0.002958
11.301859,0.002791
11.402180,0.002634
11.502263,0.002486
11.602139,0.002345
11.701840,0.002214
11.801394,0.002085
11.900831,0.001951
12.000179,0.001805
12.102569,0.001616
12.201824,0.001352
12.301079,0.001067
12.400372,0.001112
12.502844,0.001337
12.602325,0.001221
12.701957,0.001176
12.801776,0.001198
12.901818,0.001141
13.002116,0.001096
13.102700,0.001018
13.200436,0.000962
13.301651,0.000969
13.400035,0.001167
13.501946,0.001032
13.601026,0.001003
13.700465,0.001021
13.800275,0.000985
13.900469,0.000973
14.001068,0.000980
14.102092,0.000984
14.200289,0.000956
14.302233,0.000940
14.401377,0.001017
14.501030,0.001183
14.601219,0.001000
14.701968,0.001000
14.803299,0.001026
14.901823,0.012562
15.000924,0.013484
15.100612,0.013692
15.200900,0.014591
15.301794,0.015947
15.403298,0.017183
15.501880,0.018107
15.601020,0.018711
15.700585,0.019123
15.800207,0.019405
15.903150,0.019739
16.002301,0.020074
16.101229,0.020438
16.203475,0.020810
16.302006,0.021261
16.400373,0.022039
16.502095,0.023166
16.600164,0.023336
16.701536,0.022744
16.802690,0.046417
16.900147,0.045232
17.000463,0.043334
17.100601,0.042574
17.200861,0.041831
17.300948,0.041738
17.400893,0.041688
17.500725,0.040713
17.600475,0.039782
17.700149,0.038818
17.803136,0.037607
17.902529,0.036251
18.001738,0.035625
18.100260,0.035375
18.201525,0.034787
18.303375,0.034265
18.401447,0.033738
18.502408,0.033091
18.602781,0.032147
18.702506,0.031045
18.800996,0.030120
18.902030,0.029209
19.003067,0.028407
19.100624,0.025686
19.201713,0.034422
19.302667,0.033255
19.401282,0.032098
19.502457,0.031311
19.602458,0.030589
19.701726,0.029925
19.800708,0.028962
19.902060,0.027573
20.002875,0.026674
20.100209,0.025430
20.202418,0.024272
20.300201,0.023463
20.402114,0.022797
20.502758,0.021227
20.602083,0.018404
20.702585,0.018645
20.801394,0.023887
20.901291,0.018027
21.002675,0.017291
21.100559,0.018851
21.200685,0.019357
21.300721,0.021039
21.400510,0.023058
21.502214,0.023342
21.600796,0.022705
21.700075,0.022459
21.802460,0.021590
21.902237,0.020433
22.000126,0.019296
22.101629,0.018214
22.200219,0.017322
22.301077,0.016578
22.402475,0.016108
22.500000,0.015857
