time,stage1
0.001000,0.002866
0.103337,0.002866
0.202005,0.002866
0.300659,0.002864
0.402957,0.002861
0.501599,0.002862
0.600241,0.002869
0.702540,0.002890
0.801190,0.002927
0.903496,0.002958
1.002151,0.002966
1.100806,0.002954
1.203114,0.002933
1.301765,0.002920
1.400414,0.002917
1.502713,0.002924
1.601354,0.002938
1.703645,0.002957
1.802278,0.002968
1.900906,0.002967
2.003184,0.002962
2.101808,0.002957
2.200436,0.002951
2.302727,0.002943
2.401383,0.002934
2.500060,0.002923
2.602385,0.002910
2.701041,0.002898
2.803334,0.002886
2.901958,0.002874
3.000564,0.002859
3.102807,0.002844
3.201381,0.002829
3.303591,0.002815
3.402132,0.002803
3.500655,0.002791
3.602803,0.002779
3.701275,0.002768
3.803360,0.002758
3.901760,0.002750
4.000117,0.002748
4.102069,0.002744
4.200331,0.002734
4.302182,0.002725
4.400350,0.002724
4.502111,0.002726
4.600202,0.002731
4.701894,0.002740
4.803560,0.002746
4.901574,0.002749
5.003202,0.002741
5.101187,0.002730
5.202788,0.002726
5.300749,0.002723
5.402326,0.002711
5.500262,0.002696
5.601810,0.002683
5.703340,0.002675
5.801227,0.002674
5.902723,0.002682
6.000580,0.002699
6.102051,0.002723
6.203518,0.002749
6.301360,0.002771
6.402831,0.002789
6.500685,0.002800
6.602171,0.002804
6.700037,0.002803
6.801532,0.002798
6.903033,0.002788
7.000921,0.002775
7.102452,0.002764
7.200383,0.002757
7.301973,0.002756
7.403603,0.002760
7.501652,0.002767
7.603394,0.002775
7.701572,0.002783
7.803463,0.002787
7.901793,0.002786
8.000176,0.002784
8.102246,0.002781
8.200711,0.002777
8.302868,0.002772
8.401382,0.002765
8.503434,0.002759
8.601668,0.002759
8.703209,0.002769
8.800754,0.002791
8.901473,0.002824
9.001679,0.002866
9.101311,0.002910
9.200313,0.002948
9.302143,0.002976
9.403226,0.002990
9.500107,0.002988
9.603138,0.002971
9.702005,0.002941
9.800192,0.002905
9.901093,0.002868
10.001357,0.002832
10.101028,0.002801
10.200146,0.002771
10.302016,0.002733
10.400092,0.002689
10.500931,0.002641
10.601282,0.002589
10.701169,0.002535
10.800613,0.002471
10.902830,0.002399
11.001459,0.002333
11.102896,0.002269
11.200833,0.002201
11.301624,0.002110
11.402140,0.001999
11.502413,0.001879
11.602476,0.001745
11.702360,0.001471
11.802096,0.001309
11.901713,0.001155
12.001240,0.001149
12.100707,0.001275
12.200146,0.000988
12.302696,0.001003
12.402179,0.001008
12.501736,0.001081
12.601407,0.001047
12.701229,0.001033
12.801240,0.001039
12.901477,0.001031
13.001974,0.001020
13.102761,0.001016
13.200700,0.000971
13.302129,0.000971
13.400727,0.000980
13.502868,0.001017
13.602178,0.001007
13.701851,0.001059
13.801897,0.001049
13.902331,0.001126
14.003172,0.001129
14.101169,0.001178
14.202882,0.001076
14.301777,0.001027
14.401155,0.001263
14.501047,0.001202
14.601479,0.001153
14.702475,0.000954
14.800662,0.000940
14.902828,0.011594
15.002177,0.012290
15.102116,0.013041
15.202656,0.014213
15.300306,0.015603
15.402043,0.016800
15.500850,0.017678
15.600215,0.018281
15.700049,0.018739
15.803376,0.019042
15.902884,0.019323
16.002157,0.019667
16.101209,0.020039
16.200055,0.020445
16.302226,0.020918
16.400689,0.021454
16.502483,0.022059
16.600591,0.022432
16.702014,0.022418
16.803214,0.042446
16.900691,0.044631
17.001386,0.042709
17.101789,0.042627
17.201876,0.041239
17.301628,0.041492
17.400147,0.040918
17.502579,0.040264
17.601204,0.039483
17.702794,0.038654
17.800545,0.037228
17.901152,0.035595
18.001119,0.034576
18.100088,0.034191
18.202462,0.034114
18.301435,0.033619
18.400617,0.032999
18.502730,0.032761
18.600687,0.032226
18.701655,0.031147
18.802516,0.030095
18.900129,0.029354
19.000322,0.028063
19.101822,0.026990
19.200748,0.024591
19.302429,0.027425
19.400880,0.032505
19.502678,0.031106
19.601003,0.030065
19.701903,0.029149
19.801044,0.028234
19.900567,0.027557
20.000153,0.026633
20.101872,0.025436
20.201610,0.024338
20.301644,0.023209
20.401225,0.021916
20.500842,0.020701
20.601623,0.018907
20.702379,0.017565
20.801461,0.016744
20.902364,0.014968
21.000215,0.013722
21.102365,0.014921
21.202012,0.016655
21.302276,0.019289
21.401363,0.021444
21.500874,0.022194
21.600236,0.022095
21.702540,0.021402
21.801628,0.020278
21.900180,0.019795
22.002535,0.019119
22.101433,0.018356
22.200072,0.017535
22.300129,0.016671
22.400445,0.015937
22.500000,0.015387
