time,stage1
0.001000,0.002866
0.103337,0.002866
0.202005,0.002866
0.300659,0.002866
0.402958,0.002866
0.501599,0.002866
0.600242,0.002866
0.702541,0.002866
0.801191,0.002867
0.903497,0.002865
1.002152,0.002860
1.100808,0.002862
1.203116,0.002850
1.301767,0.002832
1.400416,0.002851
1.502715,0.002875
1.601357,0.002867
1.703648,0.002875
1.802281,0.002880
1.900909,0.002869
2.003187,0.002855
2.101812,0.002851
2.200440,0.002849
2.302731,0.002844
2.401388,0.002871
2.500065,0.002891
2.602390,0.002891
2.701047,0.002884
2.803341,0.002855
2.901966,0.002834
3.000575,0.002851
3.102818,0.002876
3.201395,0.002886
3.303606,0.002909
3.402149,0.002888
3.500674,0.002839
3.602824,0.002853
3.701299,0.002883
3.803386,0.002875
3.901777,0.002853
4.000124,0.002853
4.102066,0.002879
4.200319,0.002876
4.302157,0.002848
4.400307,0.002827
4.502055,0.002833
4.600141,0.002877
4.701827,0.002917
4.803489,0.002912
4.901501,0.002874
5.003129,0.002853
5.101114,0.002860
5.202717,0.002856
5.300679,0.002852
5.402257,0.002856
5.500190,0.002869
5.601736,0.002863
5.703272,0.002835
5.801166,0.002844
5.902673,0.002886
6.000547,0.002903
6.102038,0.002890
6.203526,0.002861
6.301390,0.002849
6.402879,0.002871
6.500746,0.002875
6.602239,0.002850
6.700112,0.002848
6.801613,0.002876
6.903120,0.002865
7.001012,0.002851
7.102546,0.002870
7.200485,0.002895
7.302089,0.002910
7.400114,0.002877
7.501838,0.002816
7.600007,0.002845
7.701902,0.002941
7.800252,0.002948
7.902350,0.002920
8.000901,0.002904
8.103203,0.002906
8.201945,0.002931
8.300774,0.002919
8.403339,0.002881
8.502072,0.002887
8.600522,0.002921
8.702285,0.002965
8.800042,0.002972
8.900972,0.002931
9.001378,0.002919
9.101198,0.002956
9.200373,0.002997
9.302364,0.003040
9.400112,0.003059
9.500591,0.003054
9.600312,0.003108
9.702701,0.003122
9.800971,0.003052
9.901945,0.002974
10.002269,0.002918
10.101991,0.002859
10.201152,0.002814
10.303063,0.002775
10.401178,0.002705
10.502062,0.002618
10.602460,0.002587
10.702397,0.002571
10.801894,0.002476
10.900977,0.002374
11.002852,0.002315
11.101181,0.002292
11.202341,0.002251
11.300042,0.002179
11.400624,0.002093
11.500967,0.001927
11.601100,0.001677
11.701055,0.001499
11.800862,0.001344
11.900550,0.001139
12.000147,0.001010
12.102791,0.001008
12.202293,0.001025
12.301794,0.000999
12.401331,0.001014
12.500940,0.000994
12.600662,0.001000
12.700532,0.000999
12.800591,0.001008
12.900874,0.001000
13.001413,0.000993
13.102239,0.000995
13.200213,0.000994
13.301675,0.000997
13.400301,0.001000
13.502465,0.001001
13.601793,0.000991
13.701480,0.000991
13.801541,0.001000
13.901990,0.000985
14.002845,0.000965
14.100857,0.000965
14.202583,0.000965
14.301491,0.000965
14.400884,0.000965
14.500789,0.000965
14.601232,0.000965
14.702237,0.000965
14.800432,0.000965
14.902605,0.009041
15.001961,0.010071
15.101904,0.011496
15.202443,0.013937
15.300086,0.015756
15.401812,0.017248
15.500606,0.018036
15.603511,0.018510
15.703403,0.018754
15.803371,0.018795
15.903076,0.018869
16.002521,0.019109
16.101743,0.019335
16.200757,0.019644
16.303108,0.020324
16.401760,0.021621
16.500265,0.021686
16.602147,0.021324
16.700372,0.021563
16.801917,0.031466
16.903274,0.043527
17.000959,0.043177
17.101892,0.041868
17.202574,0.041210
17.303044,0.040974
17.403363,0.040848
17.500110,0.040578
17.600220,0.039352
17.700298,0.038518
17.800317,0.037255
17.900278,0.036075
18.000040,0.035480
18.101367,0.035133
18.201593,0.034489
18.300531,0.034109
18.400033,0.033203
18.502867,0.032295
18.602188,0.031777
18.701435,0.031099
18.800636,0.030375
18.903236,0.029341
19.002116,0.028031
19.101281,0.026747
19.200240,0.025680
19.301439,0.024533
19.401092,0.033580
19.502407,0.032060
19.602520,0.030575
19.700740,0.028828
19.802973,0.027067
19.902296,0.026234
20.001810,0.025846
20.102712,0.025321
20.200043,0.024489
20.300639,0.023426
20.402826,0.022350
20.501053,0.021662
20.601783,0.020780
20.702623,0.019402
20.801007,0.019146
20.900483,0.016218
21.001736,0.015520
21.100172,0.012204
21.201540,0.011699
21.300393,0.014936
21.402186,0.018518
21.501480,0.020913
21.601053,0.021272
21.701155,0.020980
21.802263,0.021184
21.902454,0.020296
22.001753,0.019382
22.101768,0.018470
22.202319,0.017652
22.300473,0.016897
22.401774,0.016064
22.500000,0.015475
