time,stage1
0.001000,0.002652
0.104421,0.002652
0.201745,0.002652
0.305137,0.002652
0.402438,0.002652
0.505817,0.002652
0.603115,0.002651
0.700417,0.002649
0.803804,0.002646
0.901113,0.002643
1.004505,0.002639
1.101816,0.002637
1.205208,0.002636
1.302516,0.002636
1.405902,0.002638
1.503203,0.002640
1.600501,0.002642
1.703876,0.002644
1.801165,0.002646
1.904530,0.002647
2.001811,0.002648
2.105172,0.002649
2.202457,0.002649
2.305832,0.002649
2.403144,0.002649
2.500477,0.002650
2.603886,0.002651
2.701198,0.002652
2.804577,0.002653
2.901858,0.002654
3.005203,0.002656
3.102452,0.002657
3.205763,0.002658
3.302981,0.002660
3.400183,0.002661
3.503440,0.002661
3.600601,0.002661
3.703807,0.002661
3.800909,0.002661
3.904041,0.002660
4.001065,0.002660
4.104104,0.002659
4.201035,0.002658
4.303975,0.002657
4.400814,0.002656
4.503663,0.002656
4.600426,0.002656
4.703207,0.002655
4.805961,0.002655
4.902653,0.002656
5.005372,0.002656
5.102037,0.002656
5.204730,0.002657
5.301371,0.002658
5.404039,0.002659
5.500654,0.002659
5.603291,0.002660
5.705914,0.002661
5.802486,0.002661
5.905081,0.002661
6.001632,0.002661
6.104210,0.002661
6.200751,0.002661
6.303325,0.002661
6.405900,0.002661
6.502443,0.002661
6.605023,0.002661
6.701571,0.002660
6.804158,0.002660
6.900716,0.002660
7.003320,0.002660
7.105942,0.002661
7.202553,0.002662
7.305241,0.002663
7.401939,0.002666
7.504747,0.002670
7.601582,0.002674
7.704561,0.002679
7.801576,0.002685
7.904759,0.002690
8.001970,0.002695
8.105360,0.002699
8.202761,0.002702
8.300249,0.002705
8.403910,0.002709
8.501307,0.002712
8.604489,0.002716
8.701285,0.002721
8.803742,0.002728
8.905736,0.002737
9.001244,0.002746
9.102140,0.002756
9.202379,0.002765
9.301916,0.002774
9.400727,0.002779
9.504550,0.002780
9.601862,0.002776
9.704139,0.002766
9.800054,0.002751
9.900935,0.002729
10.001169,0.002702
10.100800,0.002669
10.205358,0.002629
10.303872,0.002587
10.401887,0.002541
10.504833,0.002488
10.601896,0.002435
10.703882,0.002375
10.800079,0.002316
10.901200,0.002249
11.001918,0.002179
11.102266,0.002105
11.202276,0.002014
11.301982,0.001899
11.401419,0.001774
11.500620,0.001652
11.604820,0.001534
11.703632,0.001398
11.802299,0.001254
11.900850,0.001101
12.004491,0.001020
12.102889,0.000958
12.201256,0.000983
12.304801,0.000959
12.403204,0.000959
12.501679,0.000959
12.600260,0.000959
12.704186,0.000959
12.803104,0.000959
12.902239,0.000959
13.001624,0.000959
13.101289,0.000959
13.201257,0.000959
13.301549,0.000959
13.402181,0.000959
13.503166,0.000959
13.604514,0.000959
13.700875,0.000959
13.802965,0.000959
13.900054,0.000959
14.002948,0.000959
14.100838,0.000959
14.204629,0.000959
14.303422,0.000959
14.402698,0.000959
14.502483,0.000959
14.602805,0.000959
14.703687,0.000959
14.805152,0.000959
14.901530,0.004143
15.004175,0.009684
15.101693,0.011554
15.205567,0.013027
15.304263,0.014296
15.403535,0.015412
15.503382,0.016358
15.603792,0.017145
15.704740,0.017797
15.805795,0.018340
15.900674,0.018786
16.001246,0.019215
16.101593,0.019618
16.201733,0.020003
16.301685,0.020368
16.401466,0.020699
16.501086,0.020987
16.600554,0.021237
16.705706,0.021546
16.804849,0.024531
16.903825,0.037595
17.002622,0.043945
17.101204,0.043476
17.205365,0.042381
17.303555,0.041272
17.401592,0.040364
17.505262,0.039667
17.603074,0.039128
17.700810,0.038538
17.804227,0.037785
17.901839,0.037000
18.005121,0.036181
18.102592,0.035458
18.205713,0.034735
18.303007,0.034063
18.400194,0.033370
18.502989,0.032594
18.605688,0.031777
18.702611,0.030971
18.805179,0.030079
18.902016,0.029193
19.004532,0.028210
19.101351,0.027278
19.203873,0.026529
19.300710,0.027069
19.403263,0.029936
19.500122,0.032075
19.602004,0.031600
19.703005,0.030067
19.803273,0.028555
19.902944,0.027284
20.002161,0.026249
20.100987,0.025389
20.204738,0.024602
20.302164,0.023917
20.403599,0.023228
20.503263,0.022580
20.601212,0.022044
20.702854,0.021850
20.803501,0.022365
20.903579,0.023081
21.003342,0.023229
21.102946,0.023039
21.202779,0.022846
21.302509,0.022736
21.402133,0.022668
21.501636,0.022540
21.601016,0.022242
21.700296,0.021735
21.804501,0.021020
21.903848,0.020232
22.003535,0.019399
22.103812,0.018565
22.204729,0.017758
22.300977,0.017035
22.402324,0.016328
22.500000,0.015699
