time,stage1
0.001000,0.002652
0.104421,0.002653
0.201745,0.002653
0.305137,0.002652
0.402438,0.002652
0.505817,0.002651
0.603115,0.002650
0.700417,0.002650
0.803804,0.002650
0.901112,0.002650
1.004505,0.002651
1.101816,0.002652
1.205208,0.002653
1.302515,0.002655
1.405902,0.002656
1.503203,0.002658
1.600501,0.002660
1.703875,0.002662
1.801165,0.002663
1.904530,0.002665
2.001811,0.002666
2.105172,0.002667
2.202456,0.002668
2.305831,0.002668
2.403144,0.002668
2.500476,0.002668
2.603885,0.002668
2.701198,0.002667
2.804576,0.002666
2.901857,0.002665
3.005202,0.002664
3.102451,0.002663
3.205762,0.002662
3.302980,0.002661
3.400182,0.002660
3.503439,0.002659
3.600600,0.002659
3.703806,0.002658
3.800909,0.002657
3.904041,0.002657
4.001065,0.002656
4.104105,0.002655
4.201037,0.002655
4.303977,0.002654
4.400817,0.002654
4.503667,0.002653
4.600432,0.002652
4.703213,0.002652
4.805969,0.002652
4.902661,0.002651
5.005381,0.002651
5.102046,0.002651
5.204740,0.002650
5.301382,0.002650
5.404050,0.002650
5.500665,0.002650
5.603303,0.002650
5.705925,0.002651
5.802497,0.002651
5.905093,0.002651
6.001643,0.002651
6.104222,0.002651
6.200763,0.002651
6.303336,0.002651
6.405911,0.002652
6.502454,0.002652
6.605034,0.002653
6.701583,0.002653
6.804171,0.002654
6.900730,0.002655
7.003335,0.002657
7.105958,0.002659
7.202570,0.002661
7.305260,0.002664
7.401958,0.002667
7.504766,0.002671
7.601602,0.002675
7.704580,0.002680
7.801595,0.002684
7.904776,0.002689
8.001987,0.002694
8.105375,0.002699
8.202775,0.002704
8.300262,0.002709
8.403922,0.002715
8.501318,0.002720
8.604499,0.002725
8.701294,0.002730
8.803750,0.002734
8.905743,0.002737
9.001250,0.002739
9.102145,0.002739
9.202382,0.002737
9.301918,0.002732
9.400728,0.002724
9.504550,0.002711
9.601860,0.002696
9.704136,0.002676
9.800049,0.002652
9.900929,0.002623
10.001162,0.002589
10.100793,0.002551
10.205349,0.002505
10.303861,0.002457
10.401875,0.002405
10.504820,0.002345
10.601881,0.002279
10.703866,0.002208
10.800062,0.002145
10.901182,0.002080
11.001900,0.002016
11.102247,0.001951
11.202257,0.001875
11.301963,0.001781
11.401400,0.001663
11.500600,0.001529
11.604800,0.001391
11.703612,0.001335
11.802278,0.001214
11.900828,0.001014
12.004470,0.000955
12.102868,0.000955
12.201236,0.000955
12.304783,0.000955
12.403188,0.000955
12.501664,0.000955
12.600248,0.000955
12.704176,0.000955
12.803094,0.000955
12.902230,0.000955
13.001615,0.000955
13.101278,0.000955
13.201244,0.000955
13.301533,0.000955
13.402161,0.000955
13.503142,0.000955
13.604486,0.000955
13.700842,0.000955
13.802928,0.000955
13.900012,0.000955
14.002900,0.000955
14.100785,0.000955
14.204570,0.000955
14.303359,0.000955
14.402629,0.000955
14.502409,0.000955
14.602727,0.000955
14.703605,0.001009
14.805066,0.001399
14.901442,0.005650
15.004086,0.009621
15.101604,0.011854
15.205480,0.013387
15.304178,0.014453
15.403454,0.015353
15.503305,0.016197
15.603721,0.016958
15.704668,0.017666
15.805710,0.018333
15.900582,0.018916
16.001158,0.019453
16.101517,0.019924
16.201678,0.020364
16.301657,0.020810
16.401466,0.021352
16.501114,0.022074
16.600605,0.023255
16.705777,0.026829
16.804941,0.032594
16.903942,0.041546
17.002776,0.042769
17.101423,0.042304
17.205672,0.041338
17.303957,0.040456
17.402096,0.039689
17.500112,0.038958
17.603782,0.038247
17.701605,0.037591
17.805103,0.036878
17.902784,0.036196
18.000399,0.035514
18.103680,0.034793
18.201143,0.034112
18.304239,0.033380
18.401506,0.032672
18.504391,0.031899
18.601472,0.031150
18.704185,0.030354
18.801135,0.029639
18.903746,0.029004
19.000633,0.028498
19.103210,0.028438
19.200091,0.029059
19.302682,0.030427
19.405291,0.031713
19.502222,0.031685
19.604880,0.030792
19.701865,0.029725
19.804598,0.028639
19.901673,0.027687
20.004303,0.026784
20.100564,0.026039
20.201693,0.025364
20.301737,0.024807
20.400683,0.024377
20.504186,0.024066
20.601485,0.023896
20.703485,0.023807
20.804944,0.023754
20.900627,0.023689
21.001127,0.023572
21.101531,0.023392
21.201455,0.023152
21.300924,0.022853
21.400001,0.022488
21.503818,0.022019
21.602142,0.021485
21.700227,0.020871
21.803384,0.020157
21.901487,0.019439
22.000014,0.018701
22.104256,0.017926
22.203669,0.017205
22.303170,0.016510
22.403390,0.015840
22.500000,0.015221
