time,stage1
0.001000,0.002866
0.102972,0.002866
0.201258,0.002866
0.303171,0.002866
0.401436,0.002866
0.503337,0.002866
0.601600,0.002866
0.703506,0.002866
0.801778,0.002867
0.900052,0.002865
1.001969,0.002860
1.100247,0.002864
1.202164,0.002850
1.300439,0.002833
1.402352,0.002849
1.500622,0.002870
1.602528,0.002864
1.700791,0.002877
1.802689,0.002887
1.900944,0.002868
2.002835,0.002847
2.101086,0.002846
2.202982,0.002874
2.301248,0.002870
2.403173,0.002870
2.501485,0.002885
2.603474,0.002876
2.701864,0.002866
2.800301,0.002837
2.902437,0.002856
3.000978,0.002903
3.103222,0.002884
3.201863,0.002834
3.300507,0.002824
3.402785,0.002880
3.501389,0.002916
3.603621,0.002901
3.702172,0.002868
3.800690,0.002850
3.902803,0.002850
4.001218,0.002876
4.103227,0.002899
4.201546,0.002867
4.303454,0.002824
4.401670,0.002833
4.503479,0.002877
4.601627,0.002873
4.703377,0.002855
4.801465,0.002855
4.903167,0.002869
5.001222,0.002877
5.102894,0.002873
5.200921,0.002857
5.302567,0.002851
5.400569,0.002861
5.502181,0.002882
5.600150,0.002886
5.701736,0.002856
5.803303,0.002850
5.901229,0.002866
6.002772,0.002858
6.100678,0.002851
6.202205,0.002863
6.300100,0.002872
6.401619,0.002880
6.503133,0.002888
6.601019,0.002857
6.702529,0.002831
6.800412,0.002864
6.901921,0.002888
7.003441,0.002891
7.101350,0.002883
7.202910,0.002852
7.300880,0.002883
7.402529,0.003385
7.500607,0.003450
7.602390,0.003393
7.700618,0.003450
7.802561,0.003555
7.900949,0.003601
8.003079,0.003564
8.101649,0.003522
8.200299,0.003485
8.302680,0.003471
8.401351,0.003509
8.503400,0.003734
8.601522,0.004542
8.702947,0.004458
8.800385,0.004361
8.900991,0.004248
9.001080,0.004153
9.100589,0.004137
9.202980,0.004110
9.301147,0.004049
9.402076,0.003991
9.502242,0.003960
9.601659,0.003943
9.700354,0.003882
9.801728,0.003776
9.902415,0.003687
10.002461,0.003646
10.101912,0.003592
10.200805,0.003866
10.302446,0.004251
10.400306,0.004051
10.500934,0.003911
10.601082,0.003807
10.700771,0.003722
10.800026,0.003623
10.902055,0.003474
11.000508,0.003283
11.101767,0.003092
11.202683,0.002955
11.300154,0.002853
11.400505,0.002719
11.500620,0.002554
11.600528,0.002382
11.700260,0.002215
11.802955,0.002060
11.902418,0.001895
12.001792,0.001584
12.101104,0.001375
12.200386,0.001462
12.302773,0.001033
12.402093,0.001037
12.501485,0.000993
12.600987,0.001092
12.700640,0.000974
12.800480,0.000974
12.900542,0.001033
13.000858,0.001000
13.101460,0.000976
13.202372,0.000974
13.300445,0.000974
13.402023,0.000974
13.500770,0.000974
13.603067,0.000974
13.702533,0.000970
13.802367,0.000968
13.902584,0.000968
14.003205,0.000968
14.100988,0.000968
14.202477,0.000968
14.301150,0.000968
14.400301,0.000968
14.503292,0.000968
14.600157,0.000968
14.700909,0.000968
14.802240,0.000967
14.900762,0.009430
15.003284,0.010752
15.102984,0.011991
15.203277,0.014546
15.300684,0.016434
15.402171,0.017685
15.500735,0.018459
15.603403,0.018879
15.703046,0.019072
15.802793,0.019215
15.902299,0.019391
16.001557,0.019615
16.100588,0.019899
16.202949,0.020306
16.301595,0.021526
16.403315,0.022158
16.501642,0.021846
16.603335,0.022024
16.701350,0.022070
16.802639,0.045888
16.900197,0.043931
17.001013,0.043671
17.101606,0.042657
17.201975,0.041910
17.302174,0.041765
17.402238,0.041616
17.502193,0.041008
17.602070,0.040056
17.701882,0.038881
17.801647,0.037489
17.901368,0.036500
18.001011,0.036117
18.100388,0.035542
18.203331,0.034921
18.302736,0.034233
18.402018,0.033457
18.501054,0.032440
18.603222,0.031888
18.702008,0.031237
18.801027,0.030434
18.900023,0.029368
19.002196,0.028056
19.100692,0.026903
19.201142,0.025801
19.300156,0.034280
19.401139,0.033279
19.501268,0.031792
19.600830,0.030137
19.702870,0.028957
19.801008,0.028334
19.901594,0.028024
20.000781,0.026940
20.102241,0.025489
20.201686,0.024308
20.301185,0.023489
20.401826,0.022615
20.500157,0.021620
20.601410,0.020509
20.701032,0.019224
20.802000,0.018573
20.901513,0.018903
21.002706,0.014628
21.100605,0.012668
21.200713,0.013071
21.300123,0.016561
21.401402,0.022312
21.501804,0.022814
21.601675,0.022801
21.701590,0.022553
21.802589,0.021407
21.900408,0.020369
22.000810,0.019341
22.102101,0.018679
22.201132,0.018062
22.300724,0.017355
22.400424,0.016677
22.500000,0.016193
